ID Escola,ID Inep,Escola,DRE,Tipo de Ensino,Possui 3o Ano,Área Urbana,Categoria,SAEB 23 Taxa Participação,SAEB 23 Nota Média PT,SAEB 23 Nota Média Mat,SAESE 24 Proficiência PT,SAESE 24 Proficiência MAT,Participação Avaliação Diagnóstica,Rendimento Médio Língua Portuguesa Avaliação Diagnóstica,Rendimento Médio Matemática Avaliação Diagnóstica,Número de Alunos,Participação Avaliação Formativa,Rendimento LP Avaliação Formativa,Rendimento MAT Avaliação Formativa
14202595,28008227,COLÉGIO ESTADUAL JOSÉ JOAQUIM CARDOSO,DRE03,Ensino Médio Parcial,Sim,Urbana,Regular,"92,59%","283,74","278,68","273,1","270,6",91%,55%,46%,341,"92,3%","57,99%","53,2%"
14202808,28004582,CENTRO DE EXCELÊNCIA DE EDUCAÇÃO EM TEMPO INTEGRAL AUGUSTO FRANCO,DRE03,Ensino Médio Parcial,Sim,Urbana,Regular,"96,55%","253,31","242,16","281,3","279,5",92%,52%,51%,77,"100,0%","58,33%","79,0%"
14202626,28030095,COLEGIO ESTADUAL JOÃO XXIII,DRE03,Ensino Médio Parcial,Sim,Urbana,Regular,"86,36%","266,44","275,79","265,2","269,1",96%,53%,53%,413,"85,2%","53,42%","47,8%"
14202592,28008421,CENTRO DE EXCELÊNCIA EMELIANO RIBEIRO,DRE03,Ensino Médio Integral,Sim,Urbana,Regular,"95,56%","253,47","243,21","260,2","253,3",93%,36%,34%,300,"83,2%","41,58%","42,3%"
14202558,28007166,CENTRO DE EXCELÊNCIA DOUTOR AUGUSTO CÉSAR LEITE,DRE03,Ensino Médio Integral,Sim,Urbana,Regular,"93,33%","275,37","272,72","279,6","279,3",96%,49%,40%,94,"92,3%","59,03%","59,0%"
14202502,28004809,CENTRO DE EXCELÊNCIA ABDIAS BEZERRA,DRE03,Ensino Médio Integral,Sim,Urbana,Regular,"100,00%","268,77","272,85","295,8",275,98%,62%,64%,152,"87,8%","67,59%","59,8%"
14202493,28006356,CENTRO DE EXCELÊNCIA MIGUEL DAS GRAÇAS,DRE03,Ensino Médio Parcial,Sim,Urbana,Regular,"81,25%","263,72","270,62","267,7","246,9",100%,42%,32%,117,"97,3%","54,63%","54,8%"
14202906,28014839,CENTRO DE EXCELÊNCIA CORONEL JOSÉ JOAQUIM BARBOSA,DRE04,Ensino Médio Integral,Sim,Urbana,Regular,"91,43%","250,4","253,54","250,8","235,5",84%,46%,54%,232,"80,5%","63,64%","60,3%"
14202495,28016300,CENTRO DE EXCELÊNCIA PROFESSORA MARIA CONCEIÇÃO DE SANTANA,DRE04,Ensino Médio Integral,Sim,Urbana,Regular,"93,85%","252,94","248,05","270,5","238,5",84%,41%,28%,146,"66,7%","40,56%","39,4%"
14202496,28029569,COLÉGIO ESTADUAL JOSÉ DE MATOS TELES,DRE04,Ensino Médio Parcial,Sim,Urbana,Regular,"86,96%","266,58","257,91","246,8","244,5",90%,44%,36%,278,"91,5%","53,36%","56,9%"
